full_name,stars,forks,created_at,pushed_at,topics,license,taxonomy,domain,star_tier,launch_cohort,stars_per_month,author_followers,author_fame_tier,prior_fame_proxy,days_since_creation,fork_star_ratio,contributor_count,nonauthor_pr_count,in_rubric_sample,repo_size_kb,commit,skill_md_count,claude_md_count,skill_spec_compliant,skill_md_max_lines,skill_md_median_lines,skill_md_under_500_pct,fm_name_pct,fm_description_pct,fm_license_any,fm_allowed_tools_any,fm_metadata_any,desc_len_median,desc_has_trigger_pct,desc_has_trigger_majority,desc_trigger_contexts_median,dir_scripts,dir_references,dir_assets,dir_examples,dir_evals,has_plugin_json,has_marketplace_json,has_install_sh,install_oneliner_in_readme,multi_harness_claims,multi_harness_count,has_ci,ci_validates_skills,has_tests_or_evals,has_changelog,has_version_tags,readme_lines,readme_has_before_after,readme_has_metrics,readme_has_demo_media,repo_file_count,pct_markdown_files,top_extensions,code_file_count
multica-ai/andrej-karpathy-skills,202834,,,,,,C,dev-workflow,T3,,,,,,,,,,True,,2c606141936f1eeef17fa3043a72095b4765b9c2,1,1,True,68,68,100.0,100.0,100.0,True,False,False,219,100.0,True,7,False,False,False,False,False,True,True,False,True,claude code;cursor,2,False,False,False,False,False,172,True,False,False,9,66.7,.md;.json;.mdc,0
anthropics/skills,169597,,,,,,A,meta-tooling,T3,,,,,,,,,,True,,f6656c1256d5a8adfa37db9110046ef20bac644c,18,0,True,554,115,94.4,100.0,100.0,True,False,False,304,66.7,True,4,True,True,True,True,False,False,True,False,True,claude code,1,False,False,False,False,False,97,False,False,False,412,26.7,.xsd;.md;.py,73
JuliusBrussee/caveman,98430,,,,,,B,dev-workflow,T2,,,,,,,,,,True,,12aa8cc0e980b6d3310a5be4f477c434da51f4b0,24,23,True,225,68,100.0,100.0,100.0,False,False,False,340,45.8,False,0,True,False,True,False,True,True,True,True,True,claude code;claude-code;codex;copilot;cursor;gemini cli;hermes;openclaw;opencode;windsurf,9,True,True,True,True,True,471,True,True,False,1325,11.9,.go;.mjs;.md,829
